Model,Question,Input_size,Output_size,Time_taken,Attempts,Success,Tries,Accuracy_errors,Task_errors
gpt-4o,1,2171,79,2.2957441806793213,1,True,3,0,0
gpt-4o,2,2069,27,1.0560107231140137,1,True,2,0,0
gpt-4o,3,2223,138,2.9218876361846924,1,True,3,0,0
gpt-4o,4,2190,135,4.6829588413238525,1,True,3,0,0
gpt-4o,5,2268,88,8.337140321731567,1,True,3,0,0
gpt-4o,6,8454,175,10.192289113998413,2,False,5,0,2
gpt-4o,7,2077,47,1.5648701190948486,1,True,2,0,0
gpt-4o,8,2219,140,3.804048776626587,1,True,3,0,0
gpt-4o,9,2384,370,8.69300627708435,1,True,3,0,0
gpt-4o-mini,1,2175,79,2.1639950275421143,1,True,3,0,0
gpt-4o-mini,2,2069,16,0.6633322238922119,1,True,2,0,0
gpt-4o-mini,3,2223,138,2.8227853775024414,1,True,3,0,0
gpt-4o-mini,4,2190,135,3.3019449710845947,1,True,3,0,0
gpt-4o-mini,5,2551,151,4.022212028503418,1,True,4,0,1
gpt-4o-mini,6,13344,491,12.532345294952393,2,False,7,0,4
gpt-4o-mini,7,2077,61,1.3029961585998535,1,True,2,0,0
gpt-4o-mini,8,4403,214,4.48113226890564,1,True,4,1,0
gpt-4o-mini,9,13764,614,14.042961120605469,2,False,7,1,3
o1-preview,1,2175,82,34.58417820930481,1,True,3,0,0
o1-preview,2,2069,27,17.156756162643433,1,True,2,0,0
o1-preview,3,2223,143,66.90950918197632,1,True,3,0,0
o1-preview,4,2190,135,36.978267669677734,1,True,3,0,0
o1-preview,5,2268,164,38.797218799591064,1,True,3,0,0
o1-preview,6,6298,109,84.82900404930115,2,False,5,1,1
o1-preview,7,2077,106,26.1384916305542,1,True,2,0,0
o1-preview,8,2222,220,47.80745816230774,1,True,3,0,0
o1-preview,9,2384,371,41.407076358795166,1,True,3,0,0
o1-mini,1,2175,78,10.960388422012329,1,True,3,0,0
o1-mini,2,2069,27,3.0715761184692383,1,True,2,0,0
o1-mini,3,2223,138,10.654767274856567,1,True,3,0,0
o1-mini,4,2190,135,9.171359062194824,1,True,3,0,0
o1-mini,5,4536,275,26.803516387939453,2,True,5,1,0
o1-mini,6,6450,262,38.327045917510986,2,True,6,1,1
o1-mini,7,2077,61,4.934446334838867,1,True,2,0,0
o1-mini,8,4403,191,17.214384078979492,1,True,4,1,0
o1-mini,9,4644,562,24.362258434295654,1,True,4,1,0
gpt-4-turbo,1,2150,79,3.028411865234375,1,True,3,0,0
gpt-4-turbo,2,2042,27,1.9603331089019775,1,True,2,0,0
gpt-4-turbo,3,2199,139,4.767564535140991,1,True,3,0,0
gpt-4-turbo,4,2165,135,5.321099758148193,1,True,3,0,0
gpt-4-turbo,5,2243,86,3.8912670612335205,1,True,3,0,0
gpt-4-turbo,6,8348,126,6.057598114013672,2,False,5,0,2
gpt-4-turbo,7,2050,61,2.3525705337524414,1,True,2,0,0
gpt-4-turbo,8,2194,141,4.419393301010132,1,True,3,0,0
gpt-4-turbo,9,2362,380,9.73992919921875,1,True,3,0,0
gpt-3.5-turbo-0125,1,6678,185,3.6568753719329834,3,False,7,0,4
gpt-3.5-turbo-0125,2,2042,27,0.6579976081848145,1,True,2,0,0
gpt-3.5-turbo-0125,3,8460,184,3.1227917671203613,2,False,5,0,2
gpt-3.5-turbo-0125,4,4104,38,1.4770846366882324,2,False,3,0,2
gpt-3.5-turbo-0125,5,4112,77,1.609999418258667,2,False,3,0,2
gpt-3.5-turbo-0125,6,4088,58,1.3359997272491455,2,False,3,0,2
gpt-3.5-turbo-0125,7,4215,83,1.4130001068115234,1,False,3,0,1
gpt-3.5-turbo-0125,8,4211,93,1.3941428661346436,1,False,3,0,1
gpt-3.5-turbo-0125,9,4144,38,2.819744348526001,2,False,3,0,2
